NAME,DISTRICT,ADDRESS,ZIPCODE,WEBSITE,LAT,LNG
Carmella,2,2100 WAKELING ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=718,40.0113515844,-75.0743189837
Pelbano,1,8101 BUSTLETON AVE,19152,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=819,40.0614107605,-75.0502859277
Jardel,1,1400 COTTMAN AVE,19111,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=768,40.0558449098,-75.0768344913
Boyle,1,13024 STEVENS RD,19116,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=714,40.1227118255,-75.0073965413
Stenton Park,4,4600 N 16TH ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=838,40.0245904887,-75.152416557
Thomas Holme,1,9152 ACADEMY RD,19114,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=882,40.0564028507,-75.0101965367
Papa,8,6839 LANSDOWNE AVE,19151,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=870,39.9749070743,-75.2569520583
Water Tower,4,209-99 E HARTWELL LA,19118,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=847,40.0754920565,-75.201047238
Ramp,1,3300-40 SOLLY AVE,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=817,40.0473622992,-75.0248727201
Picariello,1,3325 RED LION RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=812,40.0798362303,-74.9898918014
Lee Cultural Center,8,4310 HAVERFORD AVE,19104,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=778,39.9616631337,-75.2102535646
Kingsessing,8,4901 KINGSESSING AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=773,39.9426601535,-75.2172307961
Houseman,3,5091 SUMMERDALE AVE,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=764,40.0290523512,-75.0938135539
Houston,4,900 GRAKYN LA,19128,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=765,40.0692446778,-75.23111178
Shepard,8,5700 HAVERFORD AVE,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830,39.9669932491,-75.2346687388
Kendrick,4,5822-24 RIDGE AVE,19128,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=771,40.028823688,-75.2117687059
Bridesburg,2,4625 RICHMOND ST,19137,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=715,39.9992222097,-75.0675970273
Cobbs Creek,8,250 S 63RD ST,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=885,39.9582751145,-75.2493491966
Myers,8,5800 CHESTER AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=802,39.9345427123,-75.2288483165
